row_id,date,rel_lat,rel_lon,T2M_MAX,T2M_MIN,T2M,RH2M,QV2M,TSOIL1,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,CLOUD_AMT,GWETTOP,GWETROOT,WS10M,WD10M,PS,PRECTOTCORR,TS,EVLAND,WBT
LOC019_D11314,2014-12-22,3.98,1.31,20.8368,7.2028,12.608,31.346,2.7816,11.1968,1.971972,3.296652,38.7384,0.34,0.366,1.8248,133.528,99.6472,0.0,10.0616,0.484,11.6679
LOC019_D11315,2014-12-23,3.98,1.31,20.9396,4.644,11.9648,39.2024,3.2944,11.6632,2.520488,3.294252,36.6752,0.34,0.366,2.3572,107.752,99.6704,0.0,10.8744,0.4672,12.9644
LOC019_D11316,2014-12-24,3.98,1.31,20.8216,7.858,12.7528,41.3956,3.7076,12.0112,2.911848,3.078124,16.3248,0.34,0.366,1.8328,303.336,99.9444,0.0,11.3012,0.4268,13.1911
LOC019_D11317,2014-12-25,3.98,1.31,20.3956,5.0056,11.7752,44.4392,3.6196,11.824000000000002,2.564404,3.028388,25.338800000000003,0.34,0.366,2.68,309.7,99.8868,0.0,10.7876,0.4311999999999999,13.2732
LOC019_D11318,2014-12-26,3.98,1.31,21.6388,4.488,11.678,42.4808,3.3756,11.8448,2.78554,2.914088,23.5168,0.34,0.366,3.542,303.744,99.716,0.0,11.1876,0.5416000000000001,14.023
LOC019_D11319,2014-12-27,3.98,1.31,23.022,4.424,13.602,33.7808,2.9604000000000004,12.2688,3.259796,3.41034,10.9676,0.34,0.3596,2.1212,286.156,99.7112,0.0,11.5108,0.5436,13.7568
LOC019_D11320,2014-12-28,3.98,1.31,21.3616,6.36,13.5164,28.7752,2.6536,11.4064,2.594108,3.474324,39.4788,0.34,0.3596,1.4764000000000002,322.44,99.9064,0.0,10.2676,0.5024000000000001,11.6376
LOC019_D11321,2014-12-29,3.98,1.31,20.5764,5.1648000000000005,12.6768,28.178800000000003,2.4748,10.6648,2.58984,3.45764,28.9208,0.34,0.3596,1.4504,307.956,99.7208,0.0,9.448,0.4624,10.9518
LOC019_D11322,2014-12-30,3.98,1.31,20.894,5.2224,12.2596,31.8916,2.7664,10.5168,2.22748,3.3916160000000004,36.3248,0.34,0.3571999999999999,1.8164,81.956,99.4892,0.0,9.6472,0.4768,11.7996
LOC019_D11323,2014-12-31,3.98,1.31,20.738,4.416799999999999,12.7196,40.4464,3.6308,11.031199999999998,2.228024,2.822056,52.692,0.34,0.3571999999999999,2.186,90.03200000000001,99.606,0.0132,10.8644,0.4088,12.9843
LOC043_D11294,2014-12-02,4.7,1.38,29.9396,11.8656,19.5764,29.738000000000003,3.8504,20.1176,3.893752,3.956456,22.1672,0.128,0.33,4.430400000000001,293.24,99.2188,0.0,19.6784,0.0283999999999999,18.2641
LOC043_D11295,2014-12-03,4.7,1.38,29.3356,11.8728,19.548,31.9216,4.199199999999999,19.9456,3.821104,3.832544,6.8976,0.1184,0.33,4.9172,294.836,99.1988,0.0,19.5556,0.02,18.2823
LOC043_D11296,2014-12-04,4.7,1.38,29.3212,11.814,19.4848,30.7416,3.9524,20.0224,3.814272,3.823612,10.414,0.1184,0.33,3.6176,302.128,99.3264,0.0,19.6276,0.02,18.0177
LOC043_D11297,2014-12-05,4.7,1.38,28.2524,11.9768,19.026,27.332400000000003,3.4968,19.6832,3.519344,3.5838280000000005,19.036,0.1184,0.33,3.0864,308.824,99.5164,0.0096,18.8784,0.0344,16.4687
LOC043_D11298,2014-12-06,4.7,1.38,28.4968,10.7004,18.5816,29.4468,3.662,18.8604,3.71348,3.725392,19.2796,0.1184,0.33,3.7424,294.668,99.4464,0.0,18.5148,0.02,17.1143
LOC043_D11299,2014-12-07,4.7,1.38,28.3204,13.23,19.3176,23.612,3.1072,19.6248,3.683016,3.808612,38.0544,0.1184,0.33,3.5628,290.272,99.288,0.0,19.3284,0.02,15.659
LOC043_D11300,2014-12-08,4.7,1.38,27.387200000000004,12.618799999999998,18.8408,20.5448,2.6215999999999995,19.178,3.569488,3.662232,22.6748,0.1184,0.33,3.086,289.232,99.3056,0.0,18.1168,0.0279999999999999,14.2591
LOC043_D11301,2014-12-09,4.7,1.38,27.5204,12.5768,18.4108,19.3084,2.3948,17.7196,3.185588,3.449196,15.7316,0.1184,0.33,2.0412,287.928,99.424,0.0,16.7816,0.0279999999999999,14.0367
LOC043_D11302,2014-12-10,4.7,1.38,26.096,8.5484,15.7872,18.4852,1.876,16.792,3.419624,3.48028,21.9752,0.1184,0.33,3.3448,312.904,99.4764,0.0,15.512,0.0283999999999999,12.8725
LOC043_D11303,2014-12-11,4.7,1.38,25.8196,6.4512,15.1368,14.8368,1.4568,15.5468,3.915484,3.941212,11.604,0.118,0.33,3.2524,300.416,99.526,0.0,14.0608,0.03,11.7412
LOC043_D11304,2014-12-12,4.7,1.38,22.6932,10.6728,16.2896,24.7404,2.7916000000000003,15.008400000000002,3.135476,3.281216,16.7212,0.3204,0.34,1.1840000000000002,262.984,99.5136,5.3660000000000005,14.5624,0.5816,11.8831
LOC043_D11305,2014-12-13,4.7,1.38,16.8516,9.7772,13.403200000000002,70.03200000000001,6.6888,14.9328,1.3335,2.864092,48.3796,0.3916,0.34,4.2408,107.57599999999998,99.4964,6.065600000000001,13.473999999999998,0.5660000000000001,13.3509
LOC043_D11306,2014-12-14,4.7,1.38,19.2036,10.6976,14.9348,83.4924,8.8476,15.26,1.055912,2.778512,62.586000000000006,0.462,0.3616,2.7292,121.224,99.4464,12.0004,14.6336,0.69,17.1912
LOC043_D11307,2014-12-15,4.7,1.38,20.3976,10.3032,14.2928,74.1152,7.362,15.172,1.950848,2.69816,36.1832,0.396,0.37,2.3968000000000003,313.504,99.6464,0.3656,14.252,0.5848,17.1712
LOC043_D11308,2014-12-16,4.7,1.38,20.7856,7.1568000000000005,12.882,58.3744,5.1492,14.2664,3.55364,3.629076,10.9572,0.35,0.37,3.4772000000000003,300.104,99.8784,0.0,13.0768,0.4968,15.5014
LOC043_D11309,2014-12-17,4.7,1.38,21.0096,5.1336,11.5556,43.32640000000001,3.4568,12.886,3.30838,3.371072,5.5396,0.35,0.37,3.8544,300.384,99.8364,0.0,11.2816,0.5672,13.626
LOC043_D11310,2014-12-18,4.7,1.38,20.584,3.7752,11.638799999999998,41.842,3.3588,12.0528,2.686472,3.202412,33.5268,0.35,0.37,2.6452,293.548,99.8756,0.0,10.8392,0.488,13.0606
LOC043_D11311,2014-12-19,4.7,1.38,19.258000000000003,7.2172,12.0068,39.8788,3.2984,12.4952,1.854528,3.235404,84.334,0.342,0.368,2.3520000000000003,316.092,99.9624,0.0,11.4948,0.4844,11.6986
LOC043_D11312,2014-12-20,4.7,1.38,21.596,5.8328,11.5148,39.8652,3.1476,12.2288,2.6988959999999995,3.540932,55.787200000000006,0.34,0.36,3.1252,297.144,99.6568,0.0,11.1532,0.5628,13.5961
LOC043_D11313,2014-12-21,4.7,1.38,20.918000000000003,3.3724000000000003,11.8012,34.1876,2.7248,11.4456,1.777848,2.91598,43.1876,0.34,0.36,2.0516,293.928,99.536,0.0,10.1588,0.4668,12.1823
LOC043_D11314,2014-12-22,4.7,1.38,20.574,7.713999999999999,12.6612,28.7492,2.5568,11.0284,1.738236,3.125744,48.2332,0.34,0.36,1.6468,193.74400000000003,99.4816,0.0,9.8032,0.4687999999999999,11.0448
LOC043_D11315,2014-12-23,4.7,1.38,19.9948,5.96,12.8632,32.7804,2.9764,11.0912,2.581732,3.248628,31.412000000000003,0.34,0.36,1.5108,121.148,99.512,0.0,10.2604,0.4232,11.2468
LOC043_D11316,2014-12-24,4.7,1.38,20.514,5.8284,11.9788,43.094,3.6416,11.526,2.93426,3.048492,13.4516,0.34,0.36,2.4884,311.876,99.7584,0.0,10.8884,0.4251999999999999,13.1818
LOC043_D11317,2014-12-25,4.7,1.38,20.2948,4.734400000000001,11.2548,45.75679999999999,3.592,11.6264,2.43904,3.0013440000000005,29.837200000000003,0.34,0.36,3.2824,298.336,99.6864,0.0,10.7752,0.4496,13.3724
LOC043_D11318,2014-12-26,4.7,1.38,21.3176,4.316400000000001,11.4548,42.63400000000001,3.346,11.664,2.579344,2.794608,32.7004,0.34,0.36,4.1164,293.696,99.4988,0.0,11.0752,0.53,13.7803
LOC043_D11319,2014-12-27,4.7,1.38,22.1748,4.748,12.4432,37.2496,3.1568,11.872,2.974916,3.257544,17.4344,0.34,0.36,3.0252000000000003,289.528,99.514,0.0,10.9404,0.5024000000000001,13.6572
LOC043_D11320,2014-12-28,4.7,1.38,20.9076,3.872,11.8736,32.915600000000005,2.6692,10.8304,2.46616,3.395396,42.8804,0.34,0.36,2.5912,299.112,99.7244,0.0,9.5748,0.4972,11.9736
LOC043_D11321,2014-12-29,4.7,1.38,20.276,3.4508,11.5932,29.878,2.4184,10.102,2.712088,3.4471640000000003,26.272,0.34,0.36,2.2584,313.31199999999995,99.5444,0.0,8.8764,0.4751999999999999,11.0054
LOC043_D11322,2014-12-30,4.7,1.38,21.1812,4.1112,12.0572,32.0192,2.7124,10.2512,2.25282,3.3506759999999995,36.3312,0.34,0.358,1.8588,257.628,99.31400000000002,0.0,9.550400000000002,0.4588,12.0406
LOC043_D11323,2014-12-31,4.7,1.38,20.4748,5.712000000000001,13.0472,37.494,3.4568,10.7656,2.414488,2.857716,41.456,0.34,0.35,1.5188,77.89200000000001,99.4608,0.0,10.464,0.3912,12.3363
LOC037_D11294,2014-12-02,3.23,5.84,28.196,9.8388,17.7668,42.1,5.0432,17.9196,3.8302,3.9905,21.85,0.3707999999999999,0.4104,3.3480000000000003,300.82,100.1884,0.0,17.2388,1.0556,19.3672
LOC037_D11295,2014-12-03,3.23,5.84,28.1308,10.296,17.7776,41.2608,4.916399999999999,17.5888,3.2832,3.667,24.91,0.3707999999999999,0.402,3.8608,291.092,100.16,0.0,17.0044,1.0888,19.1611
LOC037_D11296,2014-12-04,3.23,5.84,27.8848,10.2016,18.2664,43.2888,5.367999999999999,17.3764,2.3287,3.2654,38.55,0.3704,0.4004,2.3216,318.92,100.3464,0.0,16.8168,0.8472,19.3231
LOC037_D11297,2014-12-05,3.23,5.84,27.382800000000003,12.2196,18.7888,43.6616,5.602,17.0568,1.5377,2.9875,55.96,0.3704,0.4004,1.9488,295.144,100.5064,0.13,16.4992,0.8492000000000001,18.9719
LOC037_D11298,2014-12-06,3.23,5.84,26.9436,10.1544,17.0004,42.1432,4.7344,16.946,2.3076,3.397,35.54,0.3704,0.4004,3.5248000000000004,281.648,100.4404,0.0,16.3176,0.9564,18.3433
LOC037_D11299,2014-12-07,3.23,5.84,27.8788,10.8,17.3136,41.6268,4.7912,17.1268,2.5423,3.6168,41.56,0.3704,0.4004,3.5436,280.372,100.3004,0.0,16.6496,0.976,19.0208
LOC037_D11300,2014-12-08,3.23,5.84,27.1308,9.242,17.2052,38.6972,4.3828,16.733600000000003,2.129,3.5357,83.4,0.3604,0.4,3.4004000000000003,287.66,100.3404,0.0,16.4468,0.9884,17.8806
LOC037_D11301,2014-12-09,3.23,5.84,27.267200000000003,11.2464,18.028,35.868,4.2860000000000005,17.2824,2.6078,3.3996,42.58,0.3604,0.392,2.6684,289.988,100.4664,0.0,16.5712,0.9196,17.4635
LOC037_D11302,2014-12-10,3.23,5.84,26.4092,9.2388,16.171599999999998,37.2184,3.9704,15.9848,1.9778,3.5633,52.41,0.3604,0.392,3.454,284.324,100.4576,0.0,15.1468,0.9164,17.0324
LOC037_D11303,2014-12-11,3.23,5.84,24.14,9.8032,14.8708,35.4364,3.5416,14.9048,2.9066,3.650900000000001,60.41,0.3604,0.3903999999999999,3.1832,279.612,100.5496,0.0,13.3648,0.7243999999999999,14.9163
LOC037_D11304,2014-12-12,3.23,5.84,23.4016,7.8124,15.1696,37.084,3.652,13.5548,3.648,3.6653,18.08,0.472,0.4211999999999999,1.8024,299.844,100.6256,13.8332,12.6476,1.1276000000000002,14.6094
LOC037_D11305,2014-12-13,3.23,5.84,15.871200000000002,9.5056,13.038799999999998,65.172,6.1464,13.4236,1.4671,3.055,99.32,0.3916,0.4132,3.2316000000000003,45.948,100.7116,0.1508,12.696,0.4204,11.8872
LOC037_D11306,2014-12-14,3.23,5.84,17.908,11.9648,14.41,86.9964,8.8384,14.906,0.9746,3.0538,71.69,0.4476,0.4211999999999999,3.0764,70.28399999999999,100.6508,5.8584000000000005,14.454,0.5648,16.3519
LOC037_D11307,2014-12-15,3.23,5.84,23.046,12.5088,16.498800000000003,77.1204,8.8424,16.4192,2.4122,2.7641000000000004,34.77,0.4311999999999999,0.4311999999999999,1.6804,278.756,100.6032,3.0964,16.779600000000002,1.0112,20.0715
LOC037_D11308,2014-12-16,3.23,5.84,22.4536,9.3268,14.9132,64.71759999999999,6.476,15.8048,1.7887,3.1188,38.65,0.4016,0.4232,3.8092,295.316,100.804,0.0008,15.0896,0.8715999999999999,17.8572
LOC037_D11309,2014-12-17,3.23,5.84,22.7516,7.8864,13.9376,52.1652,4.786,14.7296,3.7466,3.7627000000000006,9.26,0.4,0.4216,4.2136,290.156,100.7576,0.1296,13.7748,1.0272,16.3782
LOC037_D11310,2014-12-18,3.23,5.84,21.667600000000004,5.863200000000001,12.3552,48.0272,4.0416,13.2964,3.4058000000000006,3.4553,12.72,0.3916,0.4211999999999999,3.4368,285.012,100.8696,0.0,12.0316,0.83,14.8533
LOC037_D11311,2014-12-19,3.23,5.84,20.3588,5.4496,11.954,47.24360000000001,3.88,12.48,3.0041,3.1858,51.91,0.3916,0.4211999999999999,2.6568,291.66,100.9784,0.0,11.2848,0.6556000000000001,13.6317
LOC037_D11312,2014-12-20,3.23,5.84,20.2152,5.386,11.7164,47.9376,3.9212,12.0844,2.6318,3.2916,72.11,0.3916,0.4211999999999999,3.3476,283.224,100.652,0.0,11.0744,0.69,13.6048
LOC037_D11313,2014-12-21,3.23,5.84,22.21,4.284800000000001,11.738,44.5532,3.5532,12.1192,1.8833,2.8526,41.49,0.3912,0.4211999999999999,2.6968,287.232,100.5784,0.0,11.1396,0.7812,14.8051
LOC037_D11314,2014-12-22,3.23,5.84,21.7384,4.916399999999999,12.329199999999998,40.1124,3.3544,11.5924,1.2758,3.0214,50.02,0.3912,0.4132,2.3332,291.148,100.5748,0.0,10.568,0.6672,13.7493
LOC037_D11315,2014-12-23,3.23,5.84,21.8812,6.9088,13.3132,36.832,3.34,11.7476,2.7343,3.2952,25.73,0.3912,0.4115999999999999,1.8816,292.29600000000005,100.6152,0.0,11.068,0.6936,13.3572
LOC037_D11316,2014-12-24,3.23,5.84,22.4216,5.9292,13.0172,43.4344,3.8448,12.2056,2.381,3.0439,33.43,0.3896,0.4111999999999999,2.9576,291.152,100.7476,0.0,11.7444,0.7648,14.8138
LOC037_D11317,2014-12-25,3.23,5.84,22.0528,5.4584,12.3764,51.5124,4.338,12.518400000000002,2.7468,3.0316999999999994,20.52,0.3816,0.4111999999999999,3.4084,286.112,100.66,0.0,12.023600000000002,0.7252,15.679
LOC037_D11318,2014-12-26,3.23,5.84,22.128,5.4568,12.2504,48.8988,4.0816,12.5504,2.7737,2.9863,13.79,0.3816,0.4111999999999999,3.8328,287.344,100.4396,0.0,12.018,0.7992,15.371
LOC037_D11319,2014-12-27,3.23,5.84,22.0312,4.9756,11.863599999999998,48.073600000000006,3.9212,12.176799999999998,2.1487,3.0715,38.81,0.3812,0.4111999999999999,3.5568,287.55600000000004,100.5568,0.0,11.3032,0.7011999999999999,15.1695
LOC037_D11320,2014-12-28,3.23,5.84,22.392,5.1192,12.5208,44.6208,3.7196,12.044,1.7397999999999998,3.2635,45.51,0.3812,0.4111999999999999,2.7512,301.536,100.7448,0.0,11.2936,0.6903999999999999,14.9673
LOC037_D11321,2014-12-29,3.23,5.84,22.9144,4.7952,13.1804,39.2424,3.4384,12.0656,1.7682999999999998,3.5345,43.57,0.3812,0.4111999999999999,2.2628,296.564,100.5472,0.0,11.5176,0.716,14.5682
LOC037_D11322,2014-12-30,3.23,5.84,21.4328,6.0356000000000005,13.2232,41.0776,3.7484,12.186000000000002,2.9623000000000004,3.4061000000000003,26.64,0.3812,0.4028,1.8196,268.652,100.4336,0.0,11.5724,0.6812,13.6451
LOC037_D11323,2014-12-31,3.23,5.84,24.5216,7.4028,15.8688,42.7664,4.6064,13.0712,3.1958,3.409,43.52,0.3812,0.4012,1.6344,66.72,100.4924,0.0,13.2844,0.6436,16.4492
LOC077_D11294,2014-12-02,2.95,5.11,28.8888,10.8032,18.5256,36.4304,4.5396,18.8052,4.081912,4.163432,18.802,0.3424,0.3796,3.5964,295.276,100.1056,0.0,18.000400000000003,0.9676,18.857
LOC077_D11295,2014-12-03,2.95,5.11,28.598000000000003,10.7588,18.1884,36.976400000000005,4.5244,18.218400000000003,3.667544,3.952748,21.786800000000003,0.3424,0.3792,4.0312,289.576,100.086,0.0,17.582,0.948,18.7326
LOC077_D11296,2014-12-04,2.95,5.11,28.7196,10.518000000000002,18.9856,37.4576,4.834,18.052,3.3653120000000003,3.694496,20.7176,0.3424,0.3724,2.6128,310.336,100.2396,0.0,17.421200000000002,0.7712,18.9231
LOC077_D11297,2014-12-05,2.95,5.11,27.8568,12.9256,19.1688,37.4436,4.9188,17.4864,1.95514,3.357952,42.546800000000005,0.35,0.3724,2.0636,304.584,100.41,0.4848,16.749599999999997,0.8076000000000001,18.2306
LOC077_D11298,2014-12-06,2.95,5.11,27.1408,10.462,17.3276,37.7836,4.3336,17.2596,2.708108,3.556152,30.8196,0.3424,0.3724,3.2392000000000003,285.204,100.3556,0.0,16.5168,0.8132,17.721
LOC077_D11299,2014-12-07,2.95,5.11,28.1756,11.154000000000002,17.7676,37.6384,4.4692,17.554399999999998,3.60158,3.84488,25.2312,0.34,0.3724,3.5524,274.744,100.2152,0.0,17.1012,0.8488,18.5226
LOC077_D11300,2014-12-08,2.95,5.11,27.4604,9.7292,17.8344,34.4172,4.042000000000001,17.2836,3.0696600000000003,3.827248,74.51400000000001,0.34,0.3724,3.1988,284.31199999999995,100.2496,0.0,16.9736,0.8556,17.337
LOC077_D11301,2014-12-09,2.95,5.11,27.4812,11.79,18.9336,30.56,3.8768,17.7644,3.044584,3.607052,31.588,0.34,0.3696,2.224,287.476,100.362,0.0,17.0072,0.7864,16.5821
LOC077_D11302,2014-12-10,2.95,5.11,26.51,9.6772,16.944799999999997,32.9532,3.7292,16.370800000000003,2.583936,3.589176,44.7252,0.34,0.3692,3.0688,286.86,100.3628,0.0,15.402,0.762,16.3143
LOC077_D11303,2014-12-11,2.95,5.11,24.93,10.3408,15.796399999999998,30.0768,3.156,15.3784,3.133636,3.620808,52.80480000000001,0.34,0.3624,2.778,285.204,100.4568,0.0,13.868,0.6516,14.5545
LOC077_D11304,2014-12-12,2.95,5.11,23.88,9.3696,16.3572,33.77,3.69,14.406,3.326796,3.353628,23.3044,0.4508,0.3903999999999999,1.5108,274.068,100.5024,13.3224,13.8156,1.052,14.423
LOC077_D11305,2014-12-13,2.95,5.11,16.6772,10.7204,13.7152,69.45479999999999,6.876799999999999,14.5368,1.407656,2.796904,98.1636,0.3712,0.39,3.1492,71.26,100.5636,0.2768,13.7372,0.3256,13.1217
LOC077_D11306,2014-12-14,2.95,5.11,17.5444,11.424,13.9404,86.6364,8.517599999999998,14.9264,1.508976,3.179332,67.2664,0.4424,0.4024,3.3164,92.124,100.498,7.6144,14.0176,0.5972,15.9539
LOC077_D11307,2014-12-15,2.95,5.11,22.9516,11.5072,15.6392,75.7136,8.2176,15.8552,1.942648,2.681572,34.1308,0.408,0.4024,2.0116,299.552,100.5056,2.1508,15.7708,0.7924,19.7946
LOC077_D11308,2014-12-16,2.95,5.11,22.047200000000004,8.8212,14.578,62.5472,6.1284,15.5148,2.901208,3.615356,21.9596,0.38,0.4024,3.618,300.076,100.724,0.0,14.7928,0.6712,17.194
LOC077_D11309,2014-12-17,2.95,5.11,22.576,7.5484,13.684,49.42,4.4344,14.628,3.68842,3.69298,5.724399999999999,0.3704,0.4024,3.9516,295.456,100.692,0.0684,13.5756,0.8224000000000001,15.83
LOC077_D11310,2014-12-18,2.95,5.11,21.4912,5.4972,12.304,46.0432,3.8444,13.2216,3.2531,3.322084,8.586,0.37,0.3992,3.2536,287.696,100.7904,0.0,11.951199999999998,0.664,14.4199
LOC077_D11311,2014-12-19,2.95,5.11,20.314,5.4096,12.1336,43.6696,3.6012,12.5892,2.856476,3.052176,59.6984,0.37,0.3992,2.4992,291.648,100.8852,0.0,11.3412,0.5664,13.0972
LOC077_D11312,2014-12-20,2.95,5.11,19.5028,5.3228,11.5104,45.068000000000005,3.6344,11.9644,1.977512,3.085992,77.28519999999999,0.37,0.3992,3.1748000000000003,285.79200000000003,100.5756,0.0,10.766000000000002,0.5532,12.6132
LOC077_D11313,2014-12-21,2.95,5.11,21.8976,4.0768,12.0688,40.1864,3.2468,12.0384,2.157092,3.292216,40.0964,0.37,0.3992,2.2668,290.084,100.4868,0.0,11.0132,0.6412,13.8902
LOC077_D11314,2014-12-22,2.95,5.11,21.3772,6.038,13.0168,33.8952,2.9688,11.3248,1.4099119999999998,3.535864,47.896800000000006,0.37,0.3924,1.5584,296.748,100.46880000000002,0.0,10.092,0.4784,12.4943
LOC077_D11315,2014-12-23,2.95,5.11,22.027200000000004,6.5472,13.828400000000002,34.5536,3.2888,11.6144,2.770376,3.350972,27.7352,0.37,0.3924,1.4316,285.168,100.4852,0.0,10.996000000000002,0.5476000000000001,13.1082
LOC077_D11316,2014-12-24,2.95,5.11,22.5392,6.8048,13.6156,41.612,3.8728,12.328,2.7332,3.145728,25.597600000000003,0.3604,0.3924,2.4008,297.536,100.6524,0.0,11.9064,0.6064,14.6332
LOC077_D11317,2014-12-25,2.95,5.11,21.7932,5.6032,12.372,49.848,4.2096,12.5612,2.952428,3.053716,9.7048,0.3604,0.3924,3.3,289.268,100.5784,0.0,11.952,0.5768000000000001,15.2196
LOC077_D11318,2014-12-26,2.95,5.11,22.0832,5.2652,12.2064,46.5124,3.8616,12.548799999999998,2.882576,2.97148,15.0904,0.36,0.39,3.716,289.076,100.3696,0.0,11.9428,0.6648000000000001,14.9871
LOC077_D11319,2014-12-27,2.95,5.11,22.052,5.2692,12.4176,43.9172,3.7016,12.2632,2.100412,3.144336,58.956,0.3604,0.3892,3.326,285.664,100.4648,0.0,11.3896,0.5864,14.5788
LOC077_D11320,2014-12-28,2.95,5.11,22.3512,5.4028,13.232,39.5468,3.4896,12.1184,1.7436440000000002,3.124892,44.54,0.36,0.3892,2.3104,307.088,100.64,0.0,11.3296,0.5968,14.16
LOC077_D11321,2014-12-29,2.95,5.11,22.4212,5.1076,13.4624,34.750800000000005,3.1128000000000005,11.8104,1.5163399999999998,3.365324,46.4512,0.36,0.3892,1.7908,307.892,100.4504,0.0,11.0184,0.5908,13.4492
